timestamp,MSFT
2020-04-29T04:00:00+00:00,0.0
2020-04-30T04:00:00+00:00,0.0
2020-05-01T04:00:00+00:00,0.0
2020-05-04T04:00:00+00:00,0.0
2020-05-05T04:00:00+00:00,0.0
2020-05-06T04:00:00+00:00,0.0
2020-05-07T04:00:00+00:00,0.0
2020-05-08T04:00:00+00:00,0.0
2020-05-11T04:00:00+00:00,0.0
2020-05-12T04:00:00+00:00,0.0
2020-05-13T04:00:00+00:00,0.0
2020-05-14T04:00:00+00:00,0.0
2020-05-15T04:00:00+00:00,0.0
2020-05-18T04:00:00+00:00,0.0
2020-05-19T04:00:00+00:00,0.0
2020-05-20T04:00:00+00:00,0.0
2020-05-21T04:00:00+00:00,0.0
2020-05-22T04:00:00+00:00,0.0
2020-05-26T04:00:00+00:00,0.0
2020-05-27T04:00:00+00:00,0.0
2020-05-28T04:00:00+00:00,0.0
2020-05-29T04:00:00+00:00,0.0
2020-06-01T04:00:00+00:00,0.0
2020-06-02T04:00:00+00:00,0.0
2020-06-03T04:00:00+00:00,0.0
2020-06-04T04:00:00+00:00,0.0
2020-06-05T04:00:00+00:00,0.0
2020-06-08T04:00:00+00:00,0.0
2020-06-09T04:00:00+00:00,0.0
2020-06-10T04:00:00+00:00,0.0
2020-06-11T04:00:00+00:00,0.0
2020-06-12T04:00:00+00:00,0.0
2020-06-15T04:00:00+00:00,0.0
2020-06-16T04:00:00+00:00,0.0
2020-06-17T04:00:00+00:00,0.0
2020-06-18T04:00:00+00:00,0.0
2020-06-19T04:00:00+00:00,0.0
2020-06-22T04:00:00+00:00,0.0
2020-06-23T04:00:00+00:00,0.0
2020-06-24T04:00:00+00:00,0.0
2020-06-25T04:00:00+00:00,0.0
2020-06-26T04:00:00+00:00,0.0
2020-06-29T04:00:00+00:00,0.0
2020-06-30T04:00:00+00:00,0.0
2020-07-01T04:00:00+00:00,0.0
2020-07-02T04:00:00+00:00,0.0
2020-07-06T04:00:00+00:00,0.0
2020-07-07T04:00:00+00:00,0.0
2020-07-08T04:00:00+00:00,0.0
2020-07-09T04:00:00+00:00,0.0
2020-07-10T04:00:00+00:00,0.0
2020-07-13T04:00:00+00:00,0.0
2020-07-14T04:00:00+00:00,0.0
2020-07-15T04:00:00+00:00,0.0
2020-07-16T04:00:00+00:00,0.0
2020-07-17T04:00:00+00:00,0.0
2020-07-20T04:00:00+00:00,0.0
2020-07-21T04:00:00+00:00,0.0
2020-07-22T04:00:00+00:00,0.0
2020-07-23T04:00:00+00:00,0.0
2020-07-24T04:00:00+00:00,0.0
2020-07-27T04:00:00+00:00,0.0
2020-07-28T04:00:00+00:00,0.0
2020-07-29T04:00:00+00:00,0.0
2020-07-30T04:00:00+00:00,0.0
2020-07-31T04:00:00+00:00,0.0
2020-08-03T04:00:00+00:00,0.0
2020-08-04T04:00:00+00:00,0.0
2020-08-05T04:00:00+00:00,0.0
2020-08-06T04:00:00+00:00,0.0
2020-08-07T04:00:00+00:00,0.0
2020-08-10T04:00:00+00:00,0.0
2020-08-11T04:00:00+00:00,0.0
2020-08-12T04:00:00+00:00,0.0
2020-08-13T04:00:00+00:00,0.0
2020-08-14T04:00:00+00:00,0.0
2020-08-17T04:00:00+00:00,0.0
2020-08-18T04:00:00+00:00,0.0
2020-08-19T04:00:00+00:00,0.0
2020-08-20T04:00:00+00:00,0.0
2020-08-21T04:00:00+00:00,0.0
2020-08-24T04:00:00+00:00,0.0
2020-08-25T04:00:00+00:00,0.0
2020-08-26T04:00:00+00:00,0.0
2020-08-27T04:00:00+00:00,0.0
2020-08-28T04:00:00+00:00,0.0
2020-08-31T04:00:00+00:00,0.0
2020-09-01T04:00:00+00:00,0.0
2020-09-02T04:00:00+00:00,0.0
2020-09-03T04:00:00+00:00,0.0
2020-09-04T04:00:00+00:00,0.0
2020-09-08T04:00:00+00:00,0.0
2020-09-09T04:00:00+00:00,0.0
2020-09-10T04:00:00+00:00,0.0
2020-09-11T04:00:00+00:00,0.0
2020-09-14T04:00:00+00:00,0.0
